sampleID;filename;date;time
4_Blanco;Blank/4_Blanco.CDF;2025-03-07;19:41:23.701283
4_Blanco;Blank/4_Blanco.mzXML;2024-06-27;17:25:57.166067
15_QC1_4;Quality_Control/15_QC1_4.CDF;2025-03-07;19:41:53.694172
15_QC1_4;Quality_Control/15_QC1_4.mzXML;2024-06-27;17:25:57.343077
21_Qc2_2;Quality_Control/21_Qc2_2.CDF;2025-03-07;19:42:09.971622
21_Qc2_2;Quality_Control/21_Qc2_2.mzXML;2024-06-27;17:25:57.483086
28_Qc3_3;Quality_Control/28_Qc3_3.CDF;2025-03-07;19:42:29.15456
28_Qc3_3;Quality_Control/28_Qc3_3.mzXML;2024-06-27;17:25:57.685097
34_Qc1_2;Quality_Control/34_Qc1_2.CDF;2025-03-07;19:42:45.432001
34_Qc1_2;Quality_Control/34_Qc1_2.mzXML;2024-06-27;17:25:57.777102
41_Qc2_4;Quality_Control/41_Qc2_4.CDF;2025-03-07;19:43:03.59959
41_Qc2_4;Quality_Control/41_Qc2_4.mzXML;2024-06-27;17:25:57.823105
44_Qc2_5;Quality_Control/44_Qc2_5.CDF;2025-03-07;19:43:11.285288
44_Qc2_5;Quality_Control/44_Qc2_5.mzXML;2024-06-27;17:25:57.864107
45_Qc3_2;Quality_Control/45_Qc3_2.CDF;2025-03-07;19:43:14.112745
45_Qc3_2;Quality_Control/45_Qc3_2.mzXML;2024-06-27;17:25:57.985113
7_Qc1_5;Quality_Control/7_Qc1_5.CDF;2025-03-07;19:41:32.011812
7_Qc1_5;Quality_Control/7_Qc1_5.mzXML;2024-06-27;17:25:58.135122
8_Qc2_3;Quality_Control/8_Qc2_3.CDF;2025-03-07;19:41:34.745544
8_Qc2_3;Quality_Control/8_Qc2_3.mzXML;2024-06-27;17:25:58.364136
10_RIG003_1;Samples/10_RIG003_1.CDF;2025-03-07;19:41:40.150518
10_RIG003_1;Samples/10_RIG003_1.mzXML;2024-06-27;17:25:58.541145
11_Sample_FIED001_2;Samples/11_Sample_FIED001_2.CDF;2025-03-07;19:41:42.806145
11_Sample_FIED001_2;Samples/11_Sample_FIED001_2.mzXML;2024-06-27;17:25:58.732157
12_Sample_RGY001_3;Samples/12_Sample_RGY001_3.CDF;2025-03-07;19:41:45.555504
12_Sample_RGY001_3;Samples/12_Sample_RGY001_3.mzXML;2024-06-27;17:25:58.856163
13_Sample_RIG003_3;Samples/13_Sample_RIG003_3.CDF;2025-03-07;19:41:48.289227
13_Sample_RIG003_3;Samples/13_Sample_RIG003_3.mzXML;2024-06-27;17:25:59.059174
14_Sample_RYTA006_2;Samples/14_Sample_RYTA006_2.CDF;2025-03-07;19:41:50.913609
14_Sample_RYTA006_2;Samples/14_Sample_RYTA006_2.mzXML;2024-06-27;17:25:59.182182
16_Sample_RYMG001_3;Samples/16_Sample_RYMG001_3.CDF;2025-03-07;19:41:56.349834
16_Sample_RYMG001_3;Samples/16_Sample_RYMG001_3.mzXML;2024-06-27;17:25:59.425198
17_Sample_RGY001_1;Samples/17_Sample_RGY001_1.CDF;2025-03-07;19:41:59.208527
17_Sample_RGY001_1;Samples/17_Sample_RGY001_1.mzXML;2024-06-27;17:25:59.548203
18_Sample_FIED001_1;Samples/18_Sample_FIED001_1.CDF;2025-03-07;19:42:01.911013
18_Sample_FIED001_1;Samples/18_Sample_FIED001_1.mzXML;2024-06-27;17:25:59.682211
19_Sample_RYMG001_2;Samples/19_Sample_RYMG001_2.CDF;2025-03-07;19:42:04.519773
19_Sample_RYMG001_2;Samples/19_Sample_RYMG001_2.mzXML;2024-06-27;17:25:59.81522
20_Sample_ER001_1;Samples/20_Sample_ER001_1.CDF;2025-03-07;19:42:07.378471
20_Sample_ER001_1;Samples/20_Sample_ER001_1.mzXML;2024-06-27;17:25:59.930225
22_Sample_ATA001_2;Samples/22_Sample_ATA001_2.CDF;2025-03-07;19:42:12.877176
22_Sample_ATA001_2;Samples/22_Sample_ATA001_2.mzXML;2024-06-27;17:26:00.131237
23_RIG003_2;Samples/23_RIG003_2.CDF;2025-03-07;19:42:15.470325
23_RIG003_2;Samples/23_RIG003_2.mzXML;2024-06-27;17:26:00.272245
25_Sample_RYTA006_3;Samples/25_Sample_RYTA006_3.CDF;2025-03-07;19:42:21.203339
25_Sample_RYTA006_3;Samples/25_Sample_RYTA006_3.mzXML;2024-06-27;17:26:00.469255
26_Sample_RYTA006_1;Samples/26_Sample_RYTA006_1.CDF;2025-03-07;19:42:23.765205
26_Sample_RYTA006_1;Samples/26_Sample_RYTA006_1.mzXML;2024-06-27;17:26:00.608265
27_Sample_RIG005_3;Samples/27_Sample_RIG005_3.CDF;2025-03-07;19:42:26.592701
27_Sample_RIG005_3;Samples/27_Sample_RIG005_3.mzXML;2024-06-27;17:26:00.729271
29_Sample_RGB004_1;Samples/29_Sample_RGB004_1.CDF;2025-03-07;19:42:31.810215
29_Sample_RGB004_1;Samples/29_Sample_RGB004_1.mzXML;2024-06-27;17:26:00.873278
30_Sample_RGB004_3;Samples/30_Sample_RGB004_3.CDF;2025-03-07;19:42:34.575157
30_Sample_RGB004_3;Samples/30_Sample_RGB004_3.mzXML;2024-06-27;17:26:01.004286
31_Sample_FIED001_3;Samples/31_Sample_FIED001_3.CDF;2025-03-07;19:42:37.246431
31_Sample_FIED001_3;Samples/31_Sample_FIED001_3.mzXML;2024-06-27;17:26:01.120293
32_Sample_ATA001_3;Samples/32_Sample_ATA001_3.CDF;2025-03-07;19:42:39.902054
32_Sample_ATA001_3;Samples/32_Sample_ATA001_3.mzXML;2024-06-27;17:26:01.2593
33_Sample_ATA001_1;Samples/33_Sample_ATA001_1.CDF;2025-03-07;19:42:42.885725
33_Sample_ATA001_1;Samples/33_Sample_ATA001_1.mzXML;2024-06-27;17:26:01.382309
35_Sample_RGY001_2;Samples/35_Sample_RGY001_2.CDF;2025-03-07;19:42:48.181351
35_Sample_RGY001_2;Samples/35_Sample_RGY001_2.mzXML;2024-06-27;17:26:01.42631
36_Sample_RGB004_2;Samples/36_Sample_RGB004_2.CDF;2025-03-07;19:42:50.79011
36_Sample_RGB004_2;Samples/36_Sample_RGB004_2.mzXML;2024-06-27;17:26:01.548317
